IOBS,b5_1,b5_2,b5_3,b5_4,b5_5,b5_6,b5_7,b5_8,b5_9,b5_10,b5_11
411012,6,8,5,6,9,6,6,7,,,
411013,8,8,8,8,7,8,7,8,8,7,7
411014,,10,5,5,5,5,7,,5,10,10
411015,,,7,9,10,,7,,,,
411016,9,7,8,9,8,8,10,,,,8
411017,10,10,6,6,8,6,10,6,,,8
411018,3,8,10,8,6,5,9,,,,4
411019,10,1,,,10,9,8,8,,,
411020,8,8,7,8,7,7,7,9,,7,6
411021,7,9,7,7,7,7,6,,,,9
411022,6,,,10,10,10,10,,,,
411023,2,5,,3,2,,2,,2,1,
411024,,10,,,7,7,10,,,,
411026,,3,3,2,4,2,,,,,
411027,5,10,9,10,8,5,7,,,,7
411028,10,9,9,8,9,,9,2,,,9
411029,,6,,,10,,1,10,,,
411030,7,6,7,4,7,7,10,,,,6
411031,9,9,9,9,9,9,9,9,9,,9
411033,9,9,9,8,7,9,9,,,,
411035,,10,9,,10,,9,,,,
411036,10,2,10,3,2,3,3,,,,2
411037,10,10,6,7,,6,8,8,10,10,6
411038,5,9,7,5,4,,,6,,,
411039,9,8,10,10,10,9,10,,10,,7
411040,,9,8,7,7,,9,,7,7,6
411041,6,10,7,8,,4,7,10,,,
411042,10,10,10,10,10,9,10,,,10,10
411044,,6,6,8,5,3,7,,,,5
411045,7,7,8,7,7,7,7,,,,7
411046,7,5,9,3,7,3,8,8,,,2
411047,,,,10,3,,3,,,,
411048,4,6,5,4,6,4,4,8,,,
411049,7,7,5,7,6,7,8,,,8,4
411050,6,8,6,8,7,9,8,6,,6,8
411051,5,10,5,10,10,5,5,5,,,5
411052,10,10,9,10,7,9,10,10,10,,9
411053,8,9,10,9,8,9,10,8,9,9,9
411054,5,5,5,9,5,5,9,6,,5,5
411055,5,8,7,9,7,,7,6,,,
411056,7,7,7,7,7,7,7,,,8,6
411057,5,10,6,5,10,5,5,5,,1,5
411059,9,10,9,8,10,10,9,,,10,9
411060,10,10,8,7,7,7,7,,,,
411061,,8,10,10,8,7,8,,10,9,7
411062,7,,7,7,7,7,8,,8,,7
411063,7,6,3,5,5,5,5,6,,,5
411064,2,5,3,5,3,2,4,3,,,
411065,3,7,5,4,4,2,4,,,,5
411066,10,10,10,10,10,10,10,10,,3,9
411067,9,10,10,8,9,10,10,,6,,7
411068,9,10,2,5,2,6,8,,,,1
411069,10,10,10,10,8,9,10,6,,,6
411070,7,7,6,7,7,8,5,4,,9,
411071,,,9,9,9,,9,9,,9,
411072,6,8,8,4,4,,4,,,,
411073,10,10,10,9,9,9,10,,,,
411074,,10,9,9,9,,9,,,,
411075,5,8,2,4,4,,1,,,,
411076,8,8,8,7,7,8,6,6,,,6
411080,,7,7,5,5,8,5,,,,5
411082,7,7,5,6,5,5,6,8,,,5
411083,6,9,10,9,5,7,8,,,,7
411084,10,10,10,10,10,9,10,10,,10,10
411085,6,4,5,7,6,6,7,,,,5
411086,,,9,9,8,7,9,,,,
411087,8,9,9,8,8,8,7,7,7,7,8
411088,6,4,,8,8,7,4,,,,
411089,9,10,8,8,9,10,10,8,9,,8
411090,10,10,10,5,10,10,10,10,,,7
411091,2,1,10,10,10,8,5,,,,
411092,4,9,10,8,9,9,9,10,6,,6
411093,5,9,8,7,8,5,9,,,,
411095,1,7,7,7,8,1,1,7,,1,1
411096,7,8,9,,8,,,,,,8
411097,2,3,4,4,10,,7,,,,
411098,6,4,8,,8,6,,7,,,
411099,4,2,7,6,5,10,10,,,,
411100,3,,,5,4,6,3,,,,
411101,3,4,10,6,7,3,10,,,,
411102,5,6,8,7,8,5,5,5,,,5
411103,6,5,6,7,7,6,8,5,,3,9
411104,9,9,10,6,8,6,7,6,,,8
411105,6,8,10,6,7,8,6,6,,6,7
411106,6,7,7,7,8,8,7,8,6,,7
411107,9,9,9,7,9,8,8,8,7,9,8
411108,8,8,,,6,,,8,,,
411109,8,10,10,10,10,8,10,8,,,8
411110,,5,,5,5,5,6,,,,5
411111,5,,10,5,10,8,10,,,,
411112,,10,10,5,10,10,10,10,6,10,4
411113,5,6,5,4,6,6,4,4,,,5
411114,4,,,,,,,7,,,
411116,8,10,9,9,8,,8,,9,,8
411118,9,9,10,10,9,,10,,,,
411119,6,3,6,2,7,4,2,5,,,2
411120,7,7,6,6,10,6,8,8,,,9
411121,5,5,5,5,5,5,5,5,,,5
411122,9,7,7,8,6,6,8,9,,,7
411123,9,7,9,9,8,,,10,2,,5
411124,9,,5,5,9,,,,,,
411125,2,3,5,2,7,3,2,4,,,
411126,,10,,10,10,,10,10,,,
411127,1,4,4,1,5,5,3,,,3,3
411128,4,8,,10,10,,10,5,,,10
411129,8,8,6,6,6,7,6,8,8,7,7
411130,5,10,7,7,10,,7,,,,7
411131,,,,9,,,,10,9,,
411132,6,6,9,6,6,7,7,6,,7,6
411133,5,8,7,3,8,4,5,7,,,5
411134,4,5,,4,4,5,4,,,6,
411135,5,5,10,10,10,5,5,,,,5
411136,9,10,10,10,10,8,10,,,,7
411137,3,7,4,5,4,3,3,3,,5,3
411138,7,10,6,8,9,,7,6,,,
411139,9,10,7,9,10,10,9,6,7,7,8
411140,8,9,8,8,9,9,9,,9,8,8
411141,10,10,4,6,7,6,9,3,,,5
411142,9,9,7,9,8,7,7,,,,6
411143,8,2,7,2,6,2,2,6,,,2
411145,4,10,4,4,5,9,8,,,,8
411146,10,9,10,10,9,10,10,9,9,10,9
411147,10,10,9,9,10,9,9,10,,,8
411149,6,6,6,6,6,8,6,8,6,6,6
411150,,,7,8,,9,8,,,,
411151,9,9,9,8,9,8,9,9,8,8,9
411152,4,3,5,4,5,4,4,,,5,4
411153,10,10,7,7,6,5,5,,,,3
411154,10,9,10,10,6,10,10,,,,
411155,9,9,9,8,10,,9,8,,,
411156,5,10,10,5,4,,5,,,,
411157,10,8,7,8,9,10,9,3,,4,5
411158,8,4,1,3,8,6,8,1,1,,1
411159,8,8,6,4,8,8,6,8,,,4
411160,7,5,6,7,5,7,5,,,,
411162,6,6,8,6,6,8,6,8,,,6
411163,7,7,8,7,9,6,7,,,6,7
411164,,6,4,,,,,6,4,,
411165,9,9,8,8,8,9,8,,9,8,9
411167,,7,8,,9,,7,,,,6
411168,1,4,2,1,2,8,3,2,,5,1
411170,3,3,3,2,7,,2,5,,,4
411171,7,10,,,10,,9,,,,
411172,4,,7,8,10,7,5,,,,8
411173,9,9,8,8,8,8,8,,,9,8
411174,10,10,9,10,9,9,9,10,10,9,10
411175,10,10,10,10,9,10,10,3,5,10,10
411176,,,6,7,8,7,9,8,8,,9
411179,6,9,7,8,9,8,8,7,,,9
411180,9,9,9,9,9,9,9,9,,9,9
411181,10,6,6,6,6,4,5,,,,
411183,5,5,5,5,5,5,5,,,,5
411184,10,8,10,8,9,10,10,,,10,7
411185,6,7,5,5,7,6,7,,,,5
411186,8,9,5,8,6,9,8,,6,9,6
411187,,7,7,2,4,3,6,6,,,3
411188,10,10,,10,10,,,,,,10
411189,4,6,7,4,5,4,5,4,,,2
411190,,4,6,6,10,,7,,,,
411191,8,9,6,8,9,8,9,,,8,7
411192,4,4,10,4,1,1,3,1,,,5
411193,10,8,,9,9,,9,,,,
411194,9,,,10,9,8,9,,,10,
411195,,,7,10,10,,,,,,9
411196,9,10,10,9,9,9,9,9,,10,9
411198,9,10,8,9,8,10,9,10,,3,
411199,,10,,10,10,,,,,,
411200,5,8,8,3,7,7,5,,,,
411203,4,5,10,4,5,8,6,5,,,4
411204,8,8,9,8,8,8,8,8,8,8,8
411205,3,1,,2,2,2,1,,,,1
411206,7,8,8,7,9,9,9,8,,7,8
411207,7,10,10,10,10,10,8,,,,7
411208,,8,,,9,,7,10,,,
411209,10,8,10,6,6,8,10,7,,9,
411210,8,,9,8,10,10,10,,7,,6
411211,6,7,10,,,10,7,,,10,
411212,2,10,10,6,7,1,,5,,,8
411213,8,8,6,5,5,9,7,,8,5,5
411214,7,7,7,5,8,6,5,8,,,4
411215,,10,10,8,10,,10,,,,
411217,,10,5,9,9,7,10,,,,10
411218,,,8,9,10,,9,,,,8
411220,,2,9,10,10,2,5,,,,
411221,9,9,9,8,8,10,9,8,8,8,9
411222,8,9,6,9,8,9,9,,7,,9
411223,8,6,8,8,9,5,8,8,4,,6
411224,,10,10,10,10,10,10,10,7,7,
411226,5,5,5,5,6,,6,,,6,5
411227,7,10,9,8,7,7,8,7,,9,7
411228,7,10,10,8,8,10,9,8,6,5,8
411229,8,8,7,8,8,7,8,,,,7
411230,,2,8,8,10,7,5,5,7,4,6
411231,8,8,8,7,8,6,9,,,6,9
411232,7,9,9,7,9,8,6,5,5,5,8
411233,9,9,8,9,9,9,9,,,,6
411234,1,4,3,2,4,4,6,,1,,1
411235,6,9,7,6,6,9,6,6,6,6,9
411236,9,8,7,8,6,9,6,,,7,6
411237,7,10,7,7,6,7,7,4,,,3
411238,8,6,7,3,5,9,6,1,,3,
411239,6,6,4,6,,7,6,7,6,7,7
411240,,10,,,,10,,10,,,
411241,,9,,10,8,,8,9,,,9
411242,5,6,6,5,5,5,4,6,8,5,4
411243,4,6,5,5,5,5,4,4,,4,
411244,4,4,6,8,6,4,6,,,,4
411245,8,8,8,6,5,9,7,,,9,6
411246,,,4,9,5,7,7,,,,4
411247,7,6,5,9,7,10,10,6,5,5,5
411248,6,7,6,6,6,6,6,6,,,6
411249,6,4,7,8,7,,5,8,,,
411250,7,6,6,7,7,9,7,,,,7
411251,7,9,9,7,9,8,5,7,,6,
411252,10,10,9,10,10,10,10,,,,10
411253,7,8,7,6,7,7,5,7,,5,
411255,1,1,1,1,10,1,1,1,,,10
411256,8,8,10,9,9,10,10,10,,,
411257,5,8,5,5,5,5,5,8,,,5
411258,8,9,8,7,9,8,8,,,,8
411259,,8,,,10,,,,,,
411260,7,7,7,7,7,7,7,7,,,
411261,,8,8,,5,,7,,,,6
411262,10,1,9,1,10,10,10,1,,1,1
411263,5,10,10,10,10,10,10,10,,,5
411264,7,9,10,8,8,8,2,,,,7
411267,,,8,8,8,,6,,,,
411268,9,7,9,5,10,9,6,8,4,,7
411269,10,,,10,10,,10,,,,
411270,4,2,1,1,4,4,4,4,4,4,4
411271,6,9,8,7,6,7,6,,,,8
411272,7,10,10,3,7,9,5,6,,,2
411273,,10,8,,,8,5,,5,,10
411276,7,10,7,6,6,10,10,,,8,9
411277,,6,1,,,3,2,,2,,2
411278,8,8,4,2,2,2,4,,2,,2
411279,5,5,4,5,5,4,5,3,,,5
411280,8,9,8,7,7,,7,,,,7
411283,10,10,10,10,5,10,10,10,,,10
411284,,,10,,10,10,,,,,
411285,7,8,8,8,8,8,,,7,,6
411286,7,10,8,8,8,9,8,,,,
411287,2,10,7,5,9,7,8,,,,
411288,10,10,10,10,10,6,6,10,8,7,6
411289,9,10,10,,10,9,9,9,,,9
411291,6,9,,6,6,6,9,,,,6
411292,10,10,7,5,7,7,5,2,2,6,
411293,9,8,9,7,7,,8,8,,10,5
411294,9,9,9,9,9,9,9,9,,9,9
411296,,10,,8,,,,,,,
411297,7,8,10,7,10,6,8,6,,,10
411299,9,9,10,9,9,9,7,,7,,9
411300,6,8,9,7,7,6,6,6,,,6
411301,9,8,10,10,10,10,10,10,,,
411303,,8,9,5,5,5,7,6,,,6
411305,6,,,10,5,,,,,,5
411306,7,8,7,9,8,,,,,,7
411307,,,,,9,,2,3,,,1
411308,,4,5,6,5,,,5,,,5
411309,6,4,9,5,4,4,4,3,,,4
411310,6,7,4,4,6,5,7,,3,,3
411311,9,10,8,7,5,2,10,10,,3,2
411312,,8,,5,7,9,,,,8,
411313,7,6,6,9,10,,,10,,,
411314,,6,5,5,,,,,,,
411315,3,5,7,9,6,,7,,,5,9
411316,7,2,,5,3,,8,,,,2
411317,,2,2,9,9,1,2,,1,,2
411319,,,2,6,,,3,,,,2
411320,,9,8,8,9,,,8,,8,
411321,2,6,3,4,5,4,6,,,,
411322,6,7,8,8,7,7,8,,8,7,
411323,9,10,,,7,9,10,,,,
411324,8,10,9,8,8,10,9,8,9,10,10
411326,8,10,9,8,8,9,9,8,9,8,8
411327,7,10,,,9,,9,,,,
411329,6,8,7,4,9,5,,7,,,3
411330,8,10,10,10,10,10,10,9,,8,10
411331,10,10,10,5,10,7,10,10,,,5
411332,8,8,8,7,8,7,8,8,8,6,
411333,4,4,3,2,6,,7,,,,
411334,10,10,6,,5,8,,6,,,
411336,,10,,10,10,9,,,,,
411337,6,8,5,4,4,5,4,,,,6
411338,6,6,,4,7,,4,3,,,8
411339,,8,7,6,7,9,6,,,,
411341,9,8,9,9,9,9,9,,,,9
411344,3,8,3,1,2,3,3,2,,7,
411346,4,2,5,4,4,,4,3,1,,5
411349,4,4,10,10,3,6,4,7,,,
411351,5,,9,7,7,,,,,,8
411352,8,9,8,9,10,9,9,,,,9
411353,,,8,10,10,8,8,10,,,
411354,,10,,1,,,,,,,
411355,5,7,,6,6,7,7,,,,6
411356,2,5,5,3,6,7,4,6,2,,3
411357,4,10,10,5,9,10,6,4,,9,
411358,9,10,9,6,6,8,10,,,,8
411359,,10,10,10,10,9,10,,,,10
411360,,5,5,6,5,,10,,,,9
411361,7,6,8,7,6,5,5,6,,5,5
411362,10,10,10,1,10,10,1,1,,,1
411363,8,8,9,9,7,9,8,10,,,8
411365,5,7,9,,8,,8,,,,
411366,10,10,10,10,10,10,10,8,8,8,9
411367,9,,,9,9,9,9,,,,
411368,9,9,9,9,9,7,9,5,5,9,6
411369,8,10,8,8,7,9,10,9,,,7
411370,6,8,9,4,4,5,4,6,10,6,
411371,7,7,,,,7,7,,,10,
411373,9,8,8,9,8,7,9,7,,,9
411374,7,8,7,6,6,6,8,,,8,8
411375,2,9,7,10,5,10,10,6,6,,2
411376,5,4,9,6,6,5,6,3,,,5
411377,7,8,6,6,7,6,7,6,7,5,7
411378,5,10,10,,5,8,8,,,9,6
411379,10,6,,,,,8,,,,
411380,10,9,,8,9,9,9,,,,8
411381,5,10,8,7,9,6,10,,,,10
411382,7,9,5,8,6,8,7,3,8,3,9
411383,9,9,9,9,9,9,9,9,,,9
411384,10,10,9,9,9,9,10,,,9,9
411385,4,4,4,6,4,6,5,,4,4,4
411386,9,10,10,,,8,8,,,10,
411387,,7,,5,,10,,,,,
411388,7,5,8,2,3,9,6,9,,,2
411389,9,10,10,10,10,8,7,8,,,8
411390,10,10,10,7,9,,7,7,,,
411391,,7,8,10,,7,2,,,,
411392,5,7,5,7,4,4,5,4,,,4
411393,,9,,6,7,6,5,8,,,
411394,8,7,9,10,10,10,9,8,,10,10
411395,10,8,10,8,9,,9,,,,9
411396,7,,5,5,5,6,7,,,,
411398,10,10,9,9,5,,9,7,,7,
411399,6,6,6,5,5,5,5,,5,6,5
411400,,,,10,10,,10,10,,,
411401,10,10,10,10,10,9,10,8,6,9,10
411402,5,6,5,3,9,,5,,,,9
411403,10,10,10,9,10,10,10,10,10,,
411405,3,1,3,1,3,1,3,1,,,1
411406,8,10,,7,8,,9,,,,8
411407,10,4,7,,10,,,8,,,
411408,7,7,6,5,7,7,6,6,5,5,5
411410,5,9,10,8,9,9,9,,,8,10
411411,9,9,8,8,8,8,8,,,,8
411412,9,8,4,2,1,4,3,,,,
411413,6,6,10,9,10,9,10,,6,,6
411414,6,6,6,5,5,4,6,5,,,4
411416,,9,9,8,10,10,,10,,9,
411417,8,10,8,10,10,,8,,,,10
411418,9,10,10,9,10,,10,,,,10
411419,,,,,10,10,,,,,
411420,6,10,,,,,,8,,,
411421,4,5,5,3,5,3,3,5,,3,3
411423,10,10,10,10,10,10,10,3,,10,10
411424,10,10,9,10,10,10,10,,10,,10
411425,7,9,8,5,10,,5,8,,,
411426,10,10,10,9,10,,10,,,,
411427,4,6,6,4,4,6,5,,,4,
411428,5,10,6,8,10,,8,3,,,3
411429,10,10,9,10,9,9,10,,,,10
411430,6,6,6,10,10,10,10,6,,,6
411431,7,8,9,9,7,9,9,7,7,9,7
411432,4,4,5,5,4,6,3,,4,,4
411433,8,8,8,7,8,8,8,8,8,8,8
411434,10,,10,10,8,,10,,,,
411435,10,10,10,10,10,7,9,8,7,,
411436,8,10,8,5,10,7,7,10,6,10,5
411437,3,10,3,5,8,5,5,1,6,4,9
411438,,10,10,10,10,10,9,,,,
411439,,10,10,10,10,10,10,10,,,8
411440,3,,,3,2,,7,,,,5
411441,6,7,7,7,5,,6,6,,,6
411442,,8,7,7,7,6,6,,,,
411443,5,8,8,5,6,10,8,7,,,4
411444,5,6,6,8,9,,2,,,,
411445,,,,9,7,,,7,,,
411446,5,4,4,4,4,4,4,,,4,4
411447,10,2,10,,8,,,,,,
411448,10,,,,10,,10,,,,
411450,,10,,,,,,,,,10
411451,4,5,7,3,6,3,5,10,3,4,4
411452,8,8,7,8,8,7,8,7,,,
411453,7,10,9,7,9,9,7,10,,5,5
411454,,9,9,8,7,8,8,9,,7,
411455,3,4,,2,3,5,4,,1,,3
411456,,10,10,10,10,,9,,,,
411458,10,10,7,10,10,10,10,10,,8,8
411459,9,9,7,5,5,5,5,5,,8,5
411460,10,10,10,5,6,10,7,6,,10,
411461,,9,,6,9,,8,,,,
411462,2,3,2,2,2,2,3,10,,,4
411463,7,9,8,9,7,6,8,8,,10,7
411464,7,8,6,9,6,7,7,6,6,7,8
411465,10,10,8,4,10,,10,9,,,
411466,10,10,,6,10,6,10,,,,10
411467,,10,10,,7,,5,5,5,5,
411468,,9,,6,4,8,1,6,,,5
411469,6,10,6,10,10,6,10,3,6,6,4
411470,10,10,10,10,9,10,10,10,10,10,10
411471,10,10,10,6,7,6,10,7,,8,7
411472,7,8,7,9,9,8,7,6,8,6,8
411473,10,10,9,10,10,,10,10,,,10
411474,10,8,10,10,9,10,10,,,9,8
411475,10,1,3,3,6,10,7,,,,9
411476,8,7,6,8,7,8,8,,,,8
411477,,,7,,,,,6,,,
411478,8,8,8,8,7,9,7,7,8,7,7
411479,,9,,8,8,7,7,,,,8
411481,7,10,10,7,5,6,10,10,,8,3
411482,,10,8,10,10,,7,10,,,5
411483,7,8,,5,7,8,5,,4,,4
411484,8,7,7,8,8,6,7,5,,6,8
411485,6,10,,10,10,6,8,,,,10
411486,5,6,5,4,3,4,4,6,5,5,4
411487,8,8,9,8,9,9,8,8,,8,9
411488,9,10,10,4,7,7,6,,,,
411489,10,10,10,10,10,10,10,10,9,9,10
411490,5,5,6,4,4,4,5,,,,3
411491,7,8,7,8,7,,7,7,,,
411492,9,10,9,10,10,10,9,10,10,9,10
411493,6,6,9,7,9,9,9,,,,7
411494,9,9,9,8,9,9,9,9,,,
411495,5,10,7,10,9,7,10,,7,,10
411496,3,8,7,5,9,6,9,2,,,5
411497,8,8,8,8,8,8,8,,8,9,6
411498,7,10,,10,10,,9,,,,7
411500,8,10,8,10,8,10,8,9,9,7,10
411501,8,9,7,7,9,8,8,,8,,8
411502,5,9,9,8,8,3,6,6,2,2,3
411503,,6,5,2,1,6,6,7,,,1
411504,8,9,9,7,8,8,8,10,,,7
411506,7,2,2,10,8,,6,,,,
411508,,7,7,7,7,,7,,,,7
411509,8,10,9,9,10,8,9,,9,,9
411511,10,10,10,10,8,10,4,6,3,,7
411512,10,9,1,1,7,4,4,,,,1
411513,3,9,10,9,6,,4,,3,,5
411514,3,2,7,4,4,,3,2,,,3
411515,,,6,,7,,,,,,
411516,10,7,,,6,10,6,,,,
411517,6,10,7,5,4,5,6,2,,,
411519,,4,5,1,5,4,3,,,,1
411520,9,5,7,6,10,7,10,,,10,9
411521,9,,5,8,9,8,9,6,,,
411522,10,,,7,5,,6,,,,
411523,5,9,7,8,7,9,10,,3,,9
411524,8,9,10,8,9,8,10,10,,,7
411525,8,10,10,7,10,7,10,,,,
411526,10,10,10,8,9,10,5,,,9,10
411527,10,10,10,7,7,6,8,7,,9,6
411529,6,8,5,5,4,4,3,5,,,
411530,,10,7,6,6,8,5,,9,,6
411531,,,,10,10,,10,,,,
411532,,7,5,8,8,,10,,,,8
411533,8,9,7,8,9,2,8,,,5,6
411534,5,6,5,5,5,,6,,5,,5
411535,10,8,10,7,4,,7,,,,
